Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
48779,S Sebastião,,Luanda,Maranhao,1817,,"Antunes, José Antônio"
48787,Triunfo da Inveja,Lisbon,Luanda,Maranhao,1818,,"Batista, João<br/> Noronha, Manoel Joaquim de"
48821,NS da Conceição e Sr dos Passos,"Bahia, port unspecified",Luanda,Maranhao,1819,,"José, Manoel<br/> Praça, Antônio José de Souza"
48834,Triunfo do Brasil,,Luanda,Maranhao,1819,,"Mota, Tomás"
48837,Andorinha do Tejo,Lisbon,Luanda,Maranhao,1820,,"Domingues, Francisco José"
48838,Bom Caminho,Rio de Janeiro,Benguela,Maranhao,1820,,"Couto, João Batista do"
48852,Tejo de Lisboa,Maranhao,Luanda,Maranhao,1820,,"Souza, Manoel José de"
48874,Maria,Maranhao,Luanda,Maranhao,1827,,
48877,Velha de Deus,Rio de Janeiro,Luanda,Maranhao,1825,,"Monteiro, Luís Queiróz"
48885, ,"Pernambuco, port unspecified",Luanda,Maranhao,1825,,"Almeida, Joaquim Antônio de"
48911, ,,Bissau,Maranhao,1798,,
48912, ,,Luanda,Maranhao,1806,,
48913,Amável Donzela,Lisbon,Cacheu,Maranhao,1796,,"Rosendo, Joaquim Adrião"
49213,General D Antônio,,Luanda,Maranhao,1819,,"Coelho, João Antônio"
49397,Estrela,Sao Tome or Princes Island,Gabon,Maranhao,1811,,
49399,Maria,Havana,Cameroons,Maranhao,1811,,
49407,Barão de Quintela,Lisbon,Benin,Maranhao,1807,,
49426,Maria Apolônia,Lisbon,Sao Tome,Maranhao,1806,,
49463,S Pedro Águia,Lisbon,Luanda,Maranhao,1818,,"Silva, Ricardo José da"
49791,Flor do Tejo,Rio de Janeiro,Mozambique,Maranhao,1816,,"Ribeiro, Gregório José"
49906,Amável Donzela,Lisbon,Cacheu,Maranhao,1793,314,"Rosendo, Joaquim Adrião"
49907,Amável Donzela,,Cacheu,Maranhao,1794,266,"Rosendo, Joaquim Adrião"
49908,Aníbal,Lisbon,Bissau,Maranhao,1787,200,"Silva, Francisco de Sales e"
49909,Aníbal,Lisbon,Bissau,Maranhao,1789,169,"Silva, Francisco de Sales e"
49910,S Aníbal,,Bissau,Maranhao,1791,235,"Dias, Joaquim Bernardo"
49911,Aníbal,,Bissau,Maranhao,1792,244,"Souza, João José de"
49912,Aníbal,,Bissau,Maranhao,1794,280,"Caraboni, Joaquim da Trindade"
49920,Dois Irmãos,,Bissau,Maranhao,1787,,"Caraboni, Joaquim da Trindade"
49961,S Jorge,,Bissau,Maranhao,1793,253,"Rosa, Joaquim dos Santos"
49962,S Macário e Minerva,Lisbon,Bissau,Maranhao,1793,216,"Barros, Joaquim José Torquato de"
49963,Providência,Maranhao,Benguela,Maranhao,1817,,
51161,NS do Rosario S Antônio e Almas,"Bahia, port unspecified",Whydah,Maranhao,1790,,"Cibrão, Francisco Ferreira"
52109, ,,Cacheu,Maranhao,1684,200,
52110, ,,Cacheu,Maranhao,1693,145,
52111, ,,Cacheu,Maranhao,1692,145,
52112, ,,Costa da Mina,Maranhao,1698,,
52113, ,,Calabar,Maranhao,1714,356,
52114, ,,Costa da Mina,Maranhao,1702,,
52115, ,,"West Central Africa and St. Helena, port unspecified",Maranhao,1673,,
52116, ,,"Senegambia and offshore Atlantic, port unspecified",Maranhao,1673,,
900031,NS da Conceição e S Antônio,,"Africa., port unspecified",Maranhao,1783,80,"Magalhães, Antônio Francisco"
900032,NS da Conceição e S Antônio,,"Africa., port unspecified",Maranhao,1783,211,"Santos, Antônio José dos"
900033,NS do Rosario e S Antônio,,"Africa., port unspecified",Maranhao,1783,38,"Jorge, Pedro"
900034,NS do Rosario e S Antônio,,"Africa., port unspecified",Maranhao,1783,93,"Lourenço, Manoel"
